site_id,date,time_idx,latitude,longitude,area,ndvi,precipitation,salinity,sea_surface_height,soil_moisture,ocean_current_speed,ocean_cur_dir_sin,ocean_cur_dir_cos,wind_speed,wind_direction_sin,wind_direction_cos
Al_Wajh,1/1/2014,1,26.02500566,36.70594648,184224,0.476289806,6.784338474,39.43450663,0.239922619,0.140009761,2.633394255,0.694050297,-0.719926514,2.636292511,-0.910063476,0.414468901
Al_Wajh,2/1/2014,2,26.02500566,36.70594648,22488,0.190789139,6.284029722,39.38140804,0.221550737,0.140647396,2.791077221,0.87111531,-0.491078524,3.638497449,-0.885520577,0.464600159
Al_Wajh,3/1/2014,3,26.02500566,36.70594648,124113,0.317546814,6.642077446,39.37433299,0.223543197,0.140530691,2.099586409,0.96554021,-0.260253919,2.720477738,-0.730481287,0.682932712
Al_Wajh,4/1/2014,4,26.02500566,36.70594648,134544,0.38310125,2.969190359,39.24430713,0.203995445,0.140369505,2.271845908,0.870240038,-0.492627928,2.166485794,-0.675825637,0.737061537
Al_Wajh,5/1/2014,5,26.02500566,36.70594648,0,0.38310125,1.386605561,39.29063123,0.108760799,0.140198425,1.951367322,-0.623727507,-0.78164186,4.174997252,-0.751149792,0.660131798
Al_Wajh,6/1/2014,6,26.02500566,36.70594648,194062,0.369515075,0,39.26819221,-0.00940227,0.139986023,2.414213562,0.739119978,-0.673573795,4.601583058,-0.712689517,0.701479616
Al_Wajh,7/1/2014,7,26.02500566,36.70594648,202176,0.368892213,0,39.32442233,-0.082492517,0.140612081,2.414213562,0.204388179,-0.978889918,2.998477305,-0.467441549,0.884023981
Al_Wajh,8/1/2014,8,26.02500566,36.70594648,205785,0.406516252,0,39.28957945,-0.169769388,0.141350284,2.214495162,0.182932104,-0.983125549,3.960775234,-0.669345987,0.74295084
Al_Wajh,9/1/2014,9,26.02500566,36.70594648,179765,0.398868825,0,39.5996632,-0.180101777,0.140940383,2.171274777,-0.706350019,-0.707862734,4.595194991,-0.710760533,0.703434052
Al_Wajh,10/1/2014,10,26.02500566,36.70594648,152799,0.469519154,0,39.3923433,-0.030943793,0.14065437,2.914213562,0.164579628,-0.9863638,3.627794001,-0.797316475,0.603561462
Al_Wajh,11/1/2014,11,26.02500566,36.70594648,142104,0.44490777,0,39.34152336,0.05218772,0.140617102,3,-0.948683298,-0.316227766,2.715895357,-0.92756398,0.373664372
Al_Wajh,12/1/2014,12,26.02500566,36.70594648,175288,0.510872614,11.22311449,39.35053156,0.106718622,0.141355723,2.349586409,0.048555785,-0.998820472,1.806668121,-0.998139304,-0.060974834
Al_Wajh,1/1/2015,13,26.02500566,36.70594648,208494,0.463986094,13.75284266,39.20397975,0.060930419,0.141426951,2.68449827,0.762112012,-0.647445196,3.420102814,-0.848658673,0.528940882
Al_Wajh,2/1/2015,14,26.02500566,36.70594648,176999,0.415254475,5.171127319,39.27280664,0.200904951,0.141817033,2.05464038,0.769071388,-0.63916289,3.055424192,-0.779264027,0.626695761
Al_Wajh,3/1/2015,15,26.02500566,36.70594648,143804,0.422361083,5.360064507,39.42773145,0.237564869,0.141591236,2.135780227,-0.693714963,-0.720249645,3.862829253,-0.721099395,0.692831626
Al_Wajh,4/1/2015,16,26.02500566,36.70594648,148302,0.45217088,0,39.09364059,0.134625616,0.141190589,1.667397251,-0.704995972,-0.709211308,4.550402767,-0.716493346,0.697593926
Al_Wajh,5/1/2015,17,26.02500566,36.70594648,144827,0.447503147,0.864870369,39.20157246,0.138435459,0.140866667,2.222812131,-0.632989162,-0.774160656,3.449441921,-0.714421292,0.699715812
Al_Wajh,6/1/2015,18,26.02500566,36.70594648,107945,0.233622998,0,39.43263678,-0.009782196,0.140621126,2.707106781,0.464774536,-0.885429066,4.299163456,-0.646676186,0.762764649
Al_Wajh,7/1/2015,19,26.02500566,36.70594648,194341,0.379524953,0,39.46232265,-0.036981207,0.141005725,2.995352392,-0.307211503,-0.951641263,2.85683425,-0.519100408,0.854713265
Al_Wajh,8/1/2015,20,26.02500566,36.70594648,178449,0.370512295,0,39.3210508,-0.050134779,0.141274244,2,0,1,4.183751124,-0.743448453,0.66879324
Al_Wajh,9/1/2015,21,26.02500566,36.70594648,122843,0.250661877,0,39.49659626,-0.047553936,0.140885979,1.75,0.925679246,-0.378309309,3.864479868,-0.735566885,0.677452107
Al_Wajh,10/1/2015,22,26.02500566,36.70594648,143716,0.370434941,4.252947569,39.51139646,0.063083759,0.140621662,1.997676196,-0.195090322,-0.98078528,1.686831755,-0.795775084,0.605592285
Al_Wajh,11/1/2015,23,26.02500566,36.70594648,168540,0.56741104,10.42304516,39.67502192,0.131773223,0.140449286,2.755932035,0.416756764,-0.909018041,2.461894941,-0.931802521,0.362965649
